"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"NICE LOBÃO";"NICE LOBAO";"PFL";"MA";"74447";"2007";"53";"dep_74447.jpg"
"FERNANDO MARRONI";"FERNANDO MARRONI";"PT";"RS";"73481";"2007";"53";"dep_73481.jpg"
"JOSEPH BANDEIRA";"JOSEPH BANDEIRA";"PT";"BA";"4929";"2007";"53";"dep_4929.jpg"
"LUIZ CARLOS SETIM";"LUIZ CARLOS SETIM";"PFL";"PR";"141486";"2007";"53";"sem_foto.jpg"
"MAURO NAZIF";"MAURO NAZIF";"PSB";"RO";"141508";"2007";"53";"sem_foto.jpg"
"ZEZÉU RIBEIRO";"ZEZEU RIBEIRO";"PT";"BA";"74145";"2007";"53";"sem_foto.jpg"
"VICENTE SELISTRE";"VICENTE SELISTRE";"PSB";"RS";"159258";"2007";"53";"sem_foto.jpg"
"BRIZOLA NETO";"BRIZOLA NETO";"PDT";"RJ";"141399";"2007";"53";"sem_foto.jpg"
"MÁRIO HERINGER";"MARIO HERINGER";"PDT";"MG";"74158";"2007";"53";"sem_foto.jpg"
"RICARDO BERZOINI";"RICARDO BERZOINI";"PT";"SP";"74793";"2007";"53";"sem_foto.jpg"
"LEONARDO VILELA";"LEONARDO VILELA";"PSDB";"GO";"74368";"2007";"53";"sem_foto.jpg"
"EDMAR MOREIRA";"EDMAR MOREIRA";"PFL";"MG";"74580";"2007";"53";"sem_foto.jpg"
"PEDRO HENRY";"PEDRO HENRY";"PP";"MT";"74111";"2007";"53";"sem_foto.jpg"
"MÁRIO DE OLIVEIRA";"MARIO DE OLIVEIRA";"PSC";"MG";"74747";"2007";"53";"sem_foto.jpg"
"VALDEMAR COSTA NETO";"VALDEMAR COSTA NETO";"PL";"SP";"73565";"2007";"53";"sem_foto.jpg"
"JOSÉ GENOÍNO";"JOSE GENOINO";"PT";"SP";"73540";"2007";"53";"sem_foto.jpg"
"HUMBERTO SOUTO";"HUMBERTO SOUTO";"PPS";"MG";"74662";"2007";"53";"sem_foto.jpg"
"JILMAR TATTO";"JILMAR TATTO";"PT";"SP";"141456";"2007";"53";"sem_foto.jpg"
"NERI GELLER";"NERI GELLER";"PSDB";"MT";"146307";"2007";"53";"sem_foto.jpg"
"DIMAS RAMALHO";"DIMAS RAMALHO";"PPS";"SP";"74265";"2007";"53";"sem_foto.jpg"
"HOMERO PEREIRA";"HOMERO PEREIRA";"PPS";"MT";"141448";"2007";"53";"sem_foto.jpg"
"ZONTA";"ZONTA";"PP";"SC";"74392";"2007";"53";"sem_foto.jpg"
"LINDOMAR GARÇON";"LINDOMAR GARCON";"PV";"RO";"141483";"2007";"53";"sem_foto.jpg"
"ANA ARRAES";"ANA ARRAES";"PSB";"PE";"141377";"2007";"53";"sem_foto.jpg"
"COSTA FERREIRA";"COSTA FERREIRA";"PSC";"MA";"74016";"2007";"53";"sem_foto.jpg"
"MOACIR MICHELETTO";"MOACIR MICHELETTO";"PMDB";"PR";"74238";"2007";"53";"sem_foto.jpg"
"EDSON APARECIDO";"EDSON APARECIDO";"PSDB";"SP";"141418";"2007";"53";"sem_foto.jpg"
"NELSON BORNIER";"NELSON BORNIER";"PMDB";"RJ";"73416";"2007";"53";"sem_foto.jpg"
"MENDES RIBEIRO FILHO";"MENDES RIBEIRO FILHO";"PMDB";"RS";"73904";"2007";"53";"sem_foto.jpg"
"ANTONIO CARLOS MAGALHÃES NETO";"ANTONIO CARLOS MAGALHAES NETO";"PFL";"BA";"74058";"2007";"53";"sem_foto.jpg"
"CHICO D'ANGELO";"CHICO DANGELO";"PT";"RJ";"141439";"2007";"53";"sem_foto.jpg"
"BENEDITO DE LIRA";"BENEDITO DE LIRA";"PP";"AL";"74517";"2007";"53";"sem_foto.jpg"
"EDUARDO LOPES";"EDUARDO LOPES";"PSB";"RJ";"4928";"2007";"53";"sem_foto.jpg"
"WALDEMIR MOKA";"WALDEMIR MOKA";"PMDB";"MS";"73456";"2007";"53";"sem_foto.jpg"
"LÍDICE DA MATA";"LIDICE DA MATA";"PSB";"BA";"139285";"2007";"53";"sem_foto.jpg"
"ANGELA PORTELA";"ANGELA PORTELA";"PTC";"RR";"141380";"2007";"53";"sem_foto.jpg"
"ARMANDO MONTEIRO";"ARMANDO MONTEIRO";"PTB";"PE";"74472";"2007";"53";"sem_foto.jpg"
"EUNÍCIO OLIVEIRA";"EUNICIO OLIVEIRA";"PMDB";"CE";"74454";"2007";"53";"sem_foto.jpg"
"RODRIGO ROLLEMBERG";"RODRIGO ROLLEMBERG";"PSB";"DF";"141533";"2007";"53";"sem_foto.jpg"
"EDUARDO AMORIM";"EDUARDO AMORIM";"PSC";"SE";"141420";"2007";"53";"sem_foto.jpg"
"WALTER PINHEIRO";"WALTER PINHEIRO";"PT";"BA";"74218";"2007";"53";"sem_foto.jpg"
"JOSÉ PIMENTEL";"JOSE PIMENTEL";"PT";"CE";"74298";"2007";"53";"sem_foto.jpg"
"SILAS BRASILEIRO";"SILAS BRASILEIRO";"PMDB";"MG";"74765";"2011";"54";"dep_74765.jpg"
"SÉRGIO BARRADAS CARNEIRO";"SERGIO BARRADAS CARNEIRO";"PT";"BA";"74533";"2011";"54";"dep_74533.jpg"
"JORGE BOEIRA";"JORGE BOEIRA";"PT";"SC";"74388";"2011";"54";"dep_74388.jpg"
"CARLOS ALBERTO LERÉIA";"CARLOS ALBERTO LEREIA";"PSDB";"GO";"74290";"2011";"54";"dep_74290.jpg"
"NARCIO RODRIGUES";"NARCIO RODRIGUES";"PSDB";"MG";"74108";"2011";"54";"dep_74108.jpg"
"DR. LUIZ FERNANDO";"DR. LUIZ FERNANDO";"PMN";"AM";"74094";"2011";"54";"dep_74094.jpg"
"OLIVEIRA FILHO";"OLIVEIRA FILHO";"PRB";"PR";"73464";"2011";"54";"dep_73464.jpg"
"MARIA LUCIA PRANDI ";"MARIA LUCIA PRANDI";"PT";"SP";"5829235";"2011";"54";"dep_5829235.jpg"
"GUSTAVO PETTA";"GUSTAVO PETTA";"PCdoB";"SP";"5829232";"2011";"54";"dep_5829232.jpg"
"HELCIO SILVA";"HELCIO SILVA";"PT";"SP";"5829231";"2011";"54";"dep_5829231.jpg"
"RENATO SIMOES";"RENATO SIMOES";"PT";"SP";"5829230";"2011";"54";"dep_5829230.jpg"
"AMIR LANDO";"AMIR LANDO";"PMDB";"RO";"5829229";"2011";"54";"dep_5829229.jpg"
"AKIRA OTSUBO";"AKIRA OTSUBO";"PMDB";"MS";"5829225";"2011";"54";"dep_5829225.jpg"
"FRANCISCO CHAGAS";"FRANCISCO CHAGAS";"PT";"SP";"5829213";"2011";"54";"dep_5829213.jpg"
"MARCIO JUNQUEIRA";"MARCIO JUNQUEIRA";"PROS";"RR";"5829212";"2011";"54";"dep_5829212.jpg"
"OSVALDO REIS";"OSVALDO REIS";"PMDB";"TO";"5829194";"2011";"54";"dep_5829194.jpg"
"FABIO REIS";"FABIO REIS";"PMDB";"SE";"5829193";"2011";"54";"dep_5829193.jpg"
"IARA BERNARDI";"IARA BERNARDI";"PT";"SP";"5829192";"2011";"54";"dep_5829192.jpg"
