"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"SANDES JÚNIOR";"SANDES JUNIOR";"PP";"GO";"520741";"2011";"54";"dep_520741.jpg"
"NELSON MEURER";"NELSON MEURER";"PP";"PR";"522040";"2011";"54";"dep_522040.jpg"
"ZÉ GERARDO";"ZE GERARDO";"PMDB";"CE";"74309";"2007";"53";"sem_foto.jpg"
"ELISEU PADILHA";"ELISEU PADILHA";"PMDB";"RS";"533082";"2011";"54";"dep_533082.jpg"
"JANETE CAPIBERIBE";"JANETE CAPIBERIBE";"PSB";"AP";"520257";"2011";"54";"dep_520257.jpg"
"SILAS CÂMARA";"SILAS CAMARA";"PSD";"AM";"520152";"2011";"54";"dep_520152.jpg"
"ARACELY DE PAULA";"ARACELY DE PAULA";"PR";"MG";"521241";"2011";"54";"dep_521241.jpg"
"MARCIO REINALDO MOREIRA";"MARCIO REINALDO MOREIRA";"PP";"MG";"74744";"2011";"54";"sem_foto.jpg"
"SEBASTIÃO MADEIRA";"SEBASTIAO MADEIRA";"PSDB";"MA";"74211";"2007";"53";"sem_foto.jpg"
"ISAIAS SILVESTRE";"ISAIAS SILVESTRE";"PSB";"MG";"74152";"2011";"54";"sem_foto.jpg"
"BARBOSA NETO";"BARBOSA NETO";"PDT";"PR";"141449";"2007";"53";"sem_foto.jpg"
"TADEU FILIPPELLI";"TADEU FILIPPELLI";"PMDB";"DF";"74806";"2007";"53";"sem_foto.jpg"
"MIRO TEIXEIRA";"MIRO TEIXEIRA";"PROS";"RJ";"522296";"2011";"54";"dep_522296.jpg"
"FERNANDO GABEIRA";"FERNANDO GABEIRA";"PV";"RJ";"74841";"2007";"53";"sem_foto.jpg"
"LUIS CARLOS HEINZE";"LUIS CARLOS HEINZE";"PP";"RS";"523066";"2011";"54";"dep_523066.jpg"
"MARIA HELENA";"MARIA HELENA";"PSB";"RR";"64960";"2007";"53";"sem_foto.jpg"
"RONALDO CAIADO";"RONALDO CAIADO";"DEM";"GO";"520831";"2011";"54";"dep_520831.jpg"
"PROFESSORA RAQUEL TEIXEIRA";"PROFESSORA RAQUEL TEIXEIRA";"PSDB";"GO";"74370";"2007";"53";"sem_foto.jpg"
"MARIA DO ROSÁRIO";"MARIA DO ROSARIO";"PT";"RS";"523115";"2011";"54";"dep_523115.jpg"
"OLAVO CALHEIROS";"OLAVO CALHEIROS";"PMDB";"AL";"74005";"2007";"53";"sem_foto.jpg"
"PERPÉTUA ALMEIDA";"PERPETUA ALMEIDA";"PCdoB";"AC";"520068";"2011";"54";"dep_520068.jpg"
"JOÃO LEÃO";"JOAO LEAO";"PP";"BA";"520277";"2011";"54";"dep_520277.jpg"
"VICENTINHO";"VICENTINHO";"PT";"SP";"523577";"2011";"54";"dep_523577.jpg"
"NELSON TRAD";"NELSON TRAD";"PMDB";"MS";"73761";"2007";"53";"sem_foto.jpg"
"JOÃO DADO";"JOAO DADO";"SD";"SP";"528553";"2011";"54";"dep_528553.jpg"
"OSVALDO BIOLCHI";"OSVALDO BIOLCHI";"PMDB";"RS";"73909";"2007";"53";"sem_foto.jpg"
"JOÃO ALMEIDA";"JOAO ALMEIDA";"PSDB";"BA";"74549";"2007";"53";"sem_foto.jpg"
"CARLOS ABICALIL";"CARLOS ABICALIL";"PT";"MT";"74285";"2007";"53";"sem_foto.jpg"
"EDSON DUARTE";"EDSON DUARTE";"PV";"BA";"74061";"2007";"53";"sem_foto.jpg"
"ALBÉRICO FILHO";"ALBERICO FILHO";"PMDB";"MA";"74018";"2007";"53";"sem_foto.jpg"
"TELMA DE SOUZA";"TELMA DE SOUZA";"PT";"SP";"73561";"2007";"53";"sem_foto.jpg"
"COLBERT MARTINS";"COLBERT MARTINS";"PMDB";"BA";"5829196";"2011";"54";"dep_5829196.jpg"
"CHICO DA PRINCESA";"CHICO DA PRINCESA";"PL";"PR";"74000";"2007";"53";"sem_foto.jpg"
"JOÃO MAGALHÃES";"JOAO MAGALHAES";"PMDB";"MG";"521109";"2011";"54";"dep_521109.jpg"
"PEDRO NOVAIS";"PEDRO NOVAIS";"PMDB";"MA";"520901";"2011";"54";"dep_520901.jpg"
"ALDO REBELO";"ALDO REBELO";"PCdoB";"SP";"73428";"2011";"54";"sem_foto.jpg"
"ARNALDO MADEIRA";"ARNALDO MADEIRA";"PSDB";"SP";"73993";"2007";"53";"sem_foto.jpg"
"SILAS BRASILEIRO";"SILAS BRASILEIRO";"PMDB";"MG";"74765";"2011";"54";"sem_foto.jpg"
"DANIEL ALMEIDA";"DANIEL ALMEIDA";"PCdoB";"BA";"520407";"2011";"54";"dep_520407.jpg"
"LUIZ BASSUMA";"LUIZ BASSUMA";"PT";"BA";"74059";"2007";"53";"sem_foto.jpg"
"MILTON MONTI";"MILTON MONTI";"PR";"SP";"523624";"2011";"54";"dep_523624.jpg"
"ALEXANDRE CARDOSO";"ALEXANDRE CARDOSO";"PSB";"RJ";"74829";"2011";"54";"sem_foto.jpg"
"NELSON BORNIER";"NELSON BORNIER";"PMDB";"RJ";"73416";"2007";"53";"sem_foto.jpg"
"AIRTON ROVEDA";"AIRTON ROVEDA";"PPS";"PR";"73457";"2007";"53";"sem_foto.jpg"
"ANTONIO CARLOS MENDES THAME";"ANTONIO CARLOS MENDES THAME";"PSDB";"SP";"524132";"2011";"54";"dep_524132.jpg"
"ANTONIO CARLOS PANNUNZIO";"ANTONIO CARLOS PANNUNZIO";"PSDB";"SP";"73431";"2007";"53";"sem_foto.jpg"
"JULIO SEMEGHINI";"JULIO SEMEGHINI";"PSDB";"SP";"74783";"2011";"54";"sem_foto.jpg"
"JOSÉ SANTANA DE VASCONCELLOS";"JOSE SANTANA DE VASCONCELLOS";"PL";"MG";"74741";"2007";"53";"sem_foto.jpg"
"REINHOLD STEPHANES";"REINHOLD STEPHANES";"PSD";"PR";"522109";"2011";"54";"dep_522109.jpg"
"MILTON BARBOSA";"MILTON BARBOSA";"PSC";"BA";"74337";"2007";"53";"sem_foto.jpg"
"LUCI CHOINACKI";"LUCI CHOINACKI";"PT";"SC";"530170";"2011";"54";"dep_530170.jpg"
"CLAUDIO CAJADO";"CLAUDIO CAJADO";"DEM";"BA";"520340";"2011";"54";"dep_520340.jpg"
"RICARDO BARROS";"RICARDO BARROS";"PP";"PR";"73788";"2007";"53";"sem_foto.jpg"
"POMPEO DE MATTOS";"POMPEO DE MATTOS";"PDT";"RS";"73486";"2007";"53";"sem_foto.jpg"
"MAX ROSENMANN";"MAX ROSENMANN";"PMDB";"PR";"73780";"2007";"53";"sem_foto.jpg"
"LEONARDO VILELA";"LEONARDO VILELA";"PSDB";"GO";"74368";"2007";"53";"sem_foto.jpg"
"JOSIAS GOMES";"JOSIAS GOMES";"PT";"BA";"530021";"2011";"54";"dep_530021.jpg"
"PASTOR FRANKEMBERGEN";"PASTOR FRANKEMBERGEN";"PTB";"RR";"73921";"2007";"53";"sem_foto.jpg"
"HENRIQUE EDUARDO ALVES";"HENRIQUE EDUARDO ALVES";"PMDB";"RN";"522840";"2011";"54";"dep_522840.jpg"
"MARINHA RAUPP";"MARINHA RAUPP";"PMDB";"RO";"522922";"2011";"54";"dep_522922.jpg"
"LAEL VARELLA";"LAEL VARELLA";"DEM";"MG";"521230";"2011";"54";"dep_521230.jpg"
"BENEDITO DE LIRA";"BENEDITO DE LIRA";"PP";"AL";"74517";"2007";"53";"sem_foto.jpg"
"DARCÍSIO PERONDI";"DARCISIO PERONDI";"PMDB";"RS";"523144";"2011";"54";"dep_523144.jpg"
"SALVADOR ZIMBALDI";"SALVADOR ZIMBALDI";"PROS";"SP";"530185";"2011";"54";"dep_530185.jpg"
"ONYX LORENZONI";"ONYX LORENZONI";"DEM";"RS";"523198";"2011";"54";"dep_523198.jpg"
"RAUL JUNGMANN";"RAUL JUNGMANN";"PPS";"PE";"74048";"2007";"53";"sem_foto.jpg"
"LUIZ ALBERTO";"LUIZ ALBERTO";"PT";"BA";"520290";"2011";"54";"dep_520290.jpg"
"MAURO BENEVIDES";"MAURO BENEVIDES";"PMDB";"CE";"520437";"2011";"54";"dep_520437.jpg"
"JORGE PINHEIRO";"JORGE PINHEIRO";"PRB";"GO";"73569";"2011";"54";"sem_foto.jpg"
"WALDEMIR MOKA";"WALDEMIR MOKA";"PMDB";"MS";"73456";"2007";"53";"sem_foto.jpg"
"LUIZ SÉRGIO";"LUIZ SERGIO";"PT";"RJ";"522334";"2011";"54";"dep_522334.jpg"
"INOCÊNCIO OLIVEIRA";"INOCENCIO OLIVEIRA";"PR";"PE";"521856";"2011";"54";"dep_521856.jpg"
"ENÉAS";"ENEAS";"PRONA";"SP";"74269";"2007";"53";"sem_foto.jpg"
"CARLOS MELLES";"CARLOS MELLES";"DEM";"MG";"521245";"2011";"54";"dep_521245.jpg"
"GERVÁSIO SILVA";"GERVASIO SILVA";"PFL";"SC";"73472";"2007";"53";"sem_foto.jpg"
"ALICE PORTUGAL";"ALICE PORTUGAL";"PCdoB";"BA";"520406";"2011";"54";"dep_520406.jpg"
"WELLINGTON ROBERTO";"WELLINGTON ROBERTO";"PR";"PB";"521710";"2011";"54";"dep_521710.jpg"
"VIC PIRES FRANCO";"VIC PIRES FRANCO";"PFL";"PA";"74087";"2007";"53";"sem_foto.jpg"
"ARNALDO FARIA DE SÁ";"ARNALDO FARIA DE SA";"PTB";"SP";"523606";"2011";"54";"dep_523606.jpg"
"ANTONIO CARLOS MAGALHÃES NETO";"ANTONIO CARLOS MAGALHAES NETO";"PFL";"BA";"74058";"2007";"53";"sem_foto.jpg"
"LUCIANA GENRO";"LUCIANA GENRO";"PSOL";"RS";"74397";"2007";"53";"sem_foto.jpg"
"RONALDO CUNHA LIMA";"RONALDO CUNHA LIMA";"PSDB";"PB";"74042";"2007";"53";"sem_foto.jpg"
"JOÃO CALDAS";"JOAO CALDAS";"SD";"AL";"5829170";"2011";"54";"dep_5829170.jpg"
"FÁBIO SOUTO";"FABIO SOUTO";"DEM";"BA";"520353";"2011";"54";"dep_520353.jpg"
"JOSÉ MENDONÇA BEZERRA";"JOSE MENDONCA BEZERRA";"PFL";"PE";"74425";"2007";"53";"sem_foto.jpg"
"PAULO DELGADO";"PAULO DELGADO";"PT";"MG";"74754";"2007";"53";"sem_foto.jpg"
"JOSÉ CARLOS ALELUIA";"JOSE CARLOS ALELUIA";"PFL";"BA";"74553";"2007";"53";"sem_foto.jpg"
"VANDER LOUBET";"VANDER LOUBET";"PT";"MS";"521435";"2011";"54";"dep_521435.jpg"
"LINCOLN PORTELA";"LINCOLN PORTELA";"PR";"MG";"521137";"2011";"54";"dep_521137.jpg"
"ARLINDO CHINAGLIA";"ARLINDO CHINAGLIA";"PT";"SP";"523540";"2011";"54";"dep_523540.jpg"
"JAIME MARTINS";"JAIME MARTINS";"PSD";"MG";"521243";"2011";"54";"dep_521243.jpg"
"CELCITA PINHEIRO";"CELCITA PINHEIRO";"PFL";"MT";"74799";"2007";"53";"sem_foto.jpg"
"JADER BARBALHO";"JADER BARBALHO";"PMDB";"PA";"73929";"2007";"53";"sem_foto.jpg"
"CARLITO MERSS";"CARLITO MERSS";"PT";"SC";"73469";"2007";"53";"sem_foto.jpg"
"PEDRO FERNANDES";"PEDRO FERNANDES";"PTB";"MA";"520935";"2011";"54";"dep_520935.jpg"
"JOSÉ MENTOR";"JOSE MENTOR";"PT";"SP";"523548";"2011";"54";"dep_523548.jpg"
"LEANDRO VILELA";"LEANDRO VILELA";"PMDB";"GO";"520774";"2011";"54";"dep_520774.jpg"
"JÚLIO CESAR";"JULIO CESAR";"PSD";"PI";"522014";"2011";"54";"dep_522014.jpg"
"MÁRIO NEGROMONTE";"MARIO NEGROMONTE";"PP";"BA";"74635";"2011";"54";"sem_foto.jpg"
"WALTER PINHEIRO";"WALTER PINHEIRO";"PT";"BA";"74218";"2007";"53";"sem_foto.jpg"
"MUSSA DEMES";"MUSSA DEMES";"PFL";"PI";"74318";"2007";"53";"sem_foto.jpg"
"CEZAR SCHIRMER";"CEZAR SCHIRMER";"PMDB";"RS";"73480";"2007";"53";"sem_foto.jpg"
"HENRIQUE FONTANA";"HENRIQUE FONTANA";"PT";"RS";"523097";"2011";"54";"dep_523097.jpg"
"PAULO RATTES";"PAULO RATTES";"PMDB";"RJ";"73612";"2007";"53";"sem_foto.jpg"
"FERNANDO LOPES";"FERNANDO LOPES";"PMDB";"RJ";"74843";"2011";"54";"sem_foto.jpg"
"BIFFI";"BIFFI";"PT";"MS";"521434";"2011";"54";"dep_521434.jpg"
"PAULO ROCHA";"PAULO ROCHA";"PT";"PA";"74082";"2007";"53";"sem_foto.jpg"
"JÚLIO REDECKER";"JULIO REDECKER";"PSDB";"RS";"73994";"2007";"53";"sem_foto.jpg"
"GUSTAVO FRUET";"GUSTAVO FRUET";"PSDB";"PR";"73460";"2007";"53";"sem_foto.jpg"
"SEVERIANO ALVES";"SEVERIANO ALVES";"PDT";"BA";"74641";"2007";"53";"sem_foto.jpg"
"LUIZA ERUNDINA";"LUIZA ERUNDINA";"PSB";"SP";"523941";"2011";"54";"dep_523941.jpg"
"NILTON CAPIXABA";"NILTON CAPIXABA";"PTB";"RO";"530151";"2011";"54";"dep_530151.jpg"
"AGNALDO MUNIZ";"AGNALDO MUNIZ";"PP";"RO";"74358";"2007";"53";"sem_foto.jpg"
"ENIO BACCI";"ENIO BACCI";"PDT";"RS";"523088";"2011";"54";"dep_523088.jpg"
"EDUARDO GOMES";"EDUARDO GOMES";"PSDB";"TO";"73945";"2011";"54";"sem_foto.jpg"
