ID_VOTACAO;POLITICO;PARTIDO;VOTO
4806;Fernando Collor;PTB;NAO
4806;Cicero Lucena;PSDB;SIM
4806;Jayme Campos;DEM;SIM
4806;Joao Durval;PDT;NAO
4806;Mario Couto;PSDB;SIM
4806;Joao Vicente Claudino;PTB;NAO
4806;Jarbas Vasconcelos;PMDB;SIM
4806;Sergio Petecao;PMN;NAO
4806;Lidice da Mata;PSB;NAO
4806;Rodrigo Rollemberg;PSB;NAO
4806;Vital do Rego;PMDB;NAO
4806;Angela Portela;PT;NAO
4806;Eduardo Amorim;PSC;NAO
4806;Anibal Diniz;PT;NAO
4806;Ana Rita;PT;NAO
4806;Cyro Miranda;PSDB;NAO VOTOU
4806;Lobao Filho;PMDB;NAO
4806;Garibaldi Alves;PMDB;NAO
4806;Clesio Andrade;PR;NAO
4806;Marinor Brito;PSOL;SIM
4806;Marta Suplicy;PT;NAO
4806;Luiz Henrique;PMDB;NAO VOTOU
4806;Ivo Cassol;PP;NAO
4806;Gleisi Hoffmann;PT;NAO
4806;Humberto Costa;PT;NAO
4806;Pedro Taques;PDT;NAO
4806;Randolfe Rodrigues;PSOL;SIM
4806;Jorge Viana;PT;NAO
4806;Eduardo Braga;PMDB;NAO
4806;Paulo Davim;PV;NAO
4806;Acir Gurgacz;PDT;NAO
4806;Wellington Dias;PT;NAO
4806;Ana Amelia;PP;SIM
4807;Jose Sarney;PMDB;PRESIDENTE
4807;Epitacio Cafeteira;PTB;NAO
4807;Jose Agripino;DEM;SIM
4807;Renan Calheiros;PMDB;NAO
4807;Pedro Simon;PMDB;NAO VOTOU
4807;Paulo Paim;PT;NAO
4807;Blairo Maggi;PR;NAO
4807;Romero Juca;PMDB;NAO
4807;Eduardo Suplicy;PT;NAO
4807;Itamar Franco;PPS;SIM
4807;Eunicio Oliveira;PMDB;NAO
4807;Armando Monteiro;PTB;NAO
4807;Aecio Neves;PSDB;SIM
4807;Marisa Serrano;PSDB;SIM
4807;Vanessa Grazziotin;PCdoB;NAO
4807;Inacio Arruda;PCdoB;NAO
4807;Jose Pimentel;PT;NAO
4807;Lucia Vania;PSDB;SIM
4807;Ciro Nogueira;PP;NAO
4807;Casildo Maldaner;PMDB;NAO VOTOU
4807;Roberto Requiao;PMDB;SIM
4807;Gilvam Borges;PMDB;NAO
4807;Walter Pinheiro;PT;NAO
4807;Ricardo Ferraco;PMDB;NAO
4807;Joao Alberto Souza;PMDB;NAO
4807;Alvaro Dias;PSDB;SIM
4807;Maria do Carmo Alves;DEM;NAO VOTOU
4807;Francisco Dornelles;PP;NAO
4807;Antonio Carlos Valadares;PSB;NAO
4807;Magno Malta;PR;NAO
4807;Waldemir Moka;PMDB;NAO
4807;Katia Abreu;DEM;NAO VOTOU
4807;Gim;PTB;NAO
4807;Lindbergh Farias;PT;NAO
4807;Paulo Bauer;PSDB;SIM
4807;Joao Ribeiro;PR;NAO
4807;Aloysio Nunes Ferreira;PSDB;SIM
4807;Demostenes Torres;DEM;SIM
4807;Valdir Raupp;PMDB;NAO
4807;Marcelo Crivella;PRB;NAO
4807;Delcidio do Amaral;PT;NAO
4807;Vicentinho Alves;PR;NAO
4807;Joao Pedro;PT;NAO
4807;Wilson Santiago;PMDB;NAO
4807;Benedito de Lira;PP;NAO
4807;Cristovam Buarque;PDT;NAO VOTOU
4807;Mozarildo Cavalcanti;PTB;NAO
4807;Flexa Ribeiro;PSDB;SIM
4807;Fernando Collor;PTB;NAO
4807;Cicero Lucena;PSDB;SIM
4807;Jayme Campos;DEM;SIM
4807;Joao Durval;PDT;NAO
4807;Mario Couto;PSDB;SIM
4807;Joao Vicente Claudino;PTB;NAO
4807;Jarbas Vasconcelos;PMDB;SIM
4807;Sergio Petecao;PMN;NAO
4807;Lidice da Mata;PSB;NAO
4807;Rodrigo Rollemberg;PSB;NAO
4807;Vital do Rego;PMDB;NAO
4807;Angela Portela;PT;NAO
4807;Eduardo Amorim;PSC;NAO
4807;Anibal Diniz;PT;NAO
4807;Ana Rita;PT;NAO
4807;Cyro Miranda;PSDB;NAO VOTOU
4807;Lobao Filho;PMDB;NAO
4807;Garibaldi Alves;PMDB;NAO
4807;Clesio Andrade;PR;NAO
4807;Marinor Brito;PSOL;SIM
4807;Marta Suplicy;PT;NAO
4807;Luiz Henrique;PMDB;NAO VOTOU
4807;Ivo Cassol;PP;NAO
4807;Gleisi Hoffmann;PT;NAO
4807;Humberto Costa;PT;NAO
4807;Pedro Taques;PDT;SIM
4807;Randolfe Rodrigues;PSOL;SIM
4807;Jorge Viana;PT;NAO
4807;Eduardo Braga;PMDB;NAO
4807;Paulo Davim;PV;NAO
4807;Acir Gurgacz;PDT;NAO
4807;Wellington Dias;PT;NAO
4807;Ana Amelia;PP;SIM
4808;Jose Sarney;PMDB;PRESIDENTE
4808;Epitacio Cafeteira;PTB;NAO
4808;Jose Agripino;DEM;SIM
4808;Renan Calheiros;PMDB;NAO
4808;Pedro Simon;PMDB;NAO VOTOU
4808;Paulo Paim;PT;NAO
4808;Blairo Maggi;PR;NAO
4808;Romero Juca;PMDB;NAO
4808;Eduardo Suplicy;PT;NAO
4808;Itamar Franco;PPS;SIM
4808;Eunicio Oliveira;PMDB;NAO
4808;Armando Monteiro;PTB;NAO
4808;Aecio Neves;PSDB;SIM
4808;Marisa Serrano;PSDB;SIM
4808;Vanessa Grazziotin;PCdoB;NAO
4808;Inacio Arruda;PCdoB;NAO
4808;Jose Pimentel;PT;NAO
4808;Lucia Vania;PSDB;SIM
4808;Ciro Nogueira;PP;NAO
4808;Casildo Maldaner;PMDB;NAO VOTOU
4808;Roberto Requiao;PMDB;SIM
4808;Gilvam Borges;PMDB;NAO
4808;Walter Pinheiro;PT;NAO
4808;Ricardo Ferraco;PMDB;NAO
4808;Joao Alberto Souza;PMDB;NAO
4808;Alvaro Dias;PSDB;SIM
4808;Maria do Carmo Alves;DEM;NAO VOTOU
4808;Francisco Dornelles;PP;NAO
4808;Antonio Carlos Valadares;PSB;NAO
4808;Magno Malta;PR;NAO
4808;Waldemir Moka;PMDB;NAO
4808;Katia Abreu;DEM;SIM
4808;Gim;PTB;NAO
4808;Lindbergh Farias;PT;NAO
4808;Paulo Bauer;PSDB;SIM
4808;Joao Ribeiro;PR;NAO
4808;Aloysio Nunes Ferreira;PSDB;SIM
4808;Demostenes Torres;DEM;SIM
4808;Valdir Raupp;PMDB;NAO
4808;Marcelo Crivella;PRB;NAO
4808;Delcidio do Amaral;PT;NAO
4808;Vicentinho Alves;PR;NAO
4808;Joao Pedro;PT;NAO
4808;Wilson Santiago;PMDB;NAO
4808;Benedito de Lira;PP;NAO
4808;Cristovam Buarque;PDT;NAO VOTOU
4808;Mozarildo Cavalcanti;PTB;NAO
4808;Flexa Ribeiro;PSDB;SIM
4808;Fernando Collor;PTB;NAO
4808;Cicero Lucena;PSDB;SIM
4808;Jayme Campos;DEM;SIM
4808;Joao Durval;PDT;NAO
4808;Mario Couto;PSDB;SIM
4808;Joao Vicente Claudino;PTB;NAO
4808;Jarbas Vasconcelos;PMDB;SIM
4808;Sergio Petecao;PMN;NAO
4808;Lidice da Mata;PSB;NAO
4808;Rodrigo Rollemberg;PSB;NAO
4808;Vital do Rego;PMDB;NAO
4808;Angela Portela;PT;NAO
4808;Eduardo Amorim;PSC;NAO
4808;Anibal Diniz;PT;NAO
4808;Ana Rita;PT;NAO
4808;Cyro Miranda;PSDB;NAO VOTOU
4808;Lobao Filho;PMDB;NAO
4808;Garibaldi Alves;PMDB;NAO
4808;Clesio Andrade;PR;NAO
4808;Marinor Brito;PSOL;SIM
4808;Marta Suplicy;PT;NAO
4808;Luiz Henrique;PMDB;NAO VOTOU
4808;Ivo Cassol;PP;NAO
4808;Gleisi Hoffmann;PT;NAO
4808;Humberto Costa;PT;NAO
4808;Pedro Taques;PDT;SIM
4808;Randolfe Rodrigues;PSOL;SIM
4808;Jorge Viana;PT;NAO
4808;Eduardo Braga;PMDB;NAO
4808;Paulo Davim;PV;NAO
4808;Acir Gurgacz;PDT;NAO
4808;Wellington Dias;PT;NAO
4808;Ana Amelia;PP;SIM
4811;Jose Sarney;PMDB;PRESIDENTE
4811;Epitacio Cafeteira;PTB;NAO VOTOU
4811;Jose Agripino;DEM;NAO VOTOU
4811;Renan Calheiros;PMDB;SIM
4811;Pedro Simon;PMDB;SIM
4811;Paulo Paim;PT;SIM
4811;Blairo Maggi;PR;SIM
4811;Romero Juca;PMDB;SIM
4811;Eduardo Suplicy;PT;SIM
4811;Itamar Franco;PPS;NAO VOTOU
4811;Eunicio Oliveira;PMDB;SIM
4811;Armando Monteiro;PTB;SIM
4811;Aecio Neves;PSDB;NAO VOTOU
4811;Marisa Serrano;PSDB;NAO VOTOU
4811;Vanessa Grazziotin;PCdoB;NAO VOTOU
4811;Inacio Arruda;PCdoB;SIM
4811;Jose Pimentel;PT;SIM
4811;Lucia Vania;PSDB;NAO
4811;Ciro Nogueira;PP;NAO VOTOU
4811;Casildo Maldaner;PMDB;SIM
4811;Roberto Requiao;PMDB;NAO
4811;Gilvam Borges;PMDB;SIM
4811;Walter Pinheiro;PT;SIM
4811;Ricardo Ferraco;PMDB;SIM
4811;Joao Alberto Souza;PMDB;NAO VOTOU
4811;Alvaro Dias;PSDB;NAO
4811;Maria do Carmo Alves;DEM;NAO VOTOU
4811;Francisco Dornelles;PP;SIM
4811;Antonio Carlos Valadares;PSB;SIM
4811;Magno Malta;PR;NAO VOTOU
4811;Waldemir Moka;PMDB;SIM
4811;Katia Abreu;DEM;NAO
4811;Gim;PTB;SIM
4811;Lindbergh Farias;PT;SIM
4811;Paulo Bauer;PSDB;NAO
4811;Joao Ribeiro;PR;SIM
4811;Aloysio Nunes Ferreira;PSDB;NAO
4811;Demostenes Torres;DEM;NAO
4811;Valdir Raupp;PMDB;SIM
4811;Marcelo Crivella;PRB;SIM
4811;Delcidio do Amaral;PT;SIM
4811;Vicentinho Alves;PR;SIM
4811;Joao Pedro;PT;SIM
4811;Wilson Santiago;PMDB;SIM
4811;Benedito de Lira;PP;SIM
4811;Cristovam Buarque;PDT;NAO VOTOU
4811;Mozarildo Cavalcanti;PTB;SIM
4811;Flexa Ribeiro;PSDB;SIM
4811;Fernando Collor;PTB;NAO VOTOU
4811;Cicero Lucena;PSDB;NAO
4811;Jayme Campos;DEM;NAO VOTOU
4811;Joao Durval;PDT;NAO VOTOU
4811;Mario Couto;PSDB;NAO VOTOU
4811;Joao Vicente Claudino;PTB;SIM
4811;Jarbas Vasconcelos;PMDB;NAO
4811;Sergio Petecao;PMN;SIM
4811;Lidice da Mata;PSB;NAO VOTOU
4811;Rodrigo Rollemberg;PSB;SIM
4811;Vital do Rego;PMDB;SIM
4811;Angela Portela;PT;SIM
4811;Eduardo Amorim;PSC;NAO VOTOU
4811;Anibal Diniz;PT;SIM
4811;Ana Rita;PT;SIM
4811;Cyro Miranda;PSDB;NAO
4811;Lobao Filho;PMDB;SIM
4811;Garibaldi Alves;PMDB;NAO VOTOU
4811;Clesio Andrade;PR;SIM
4811;Marinor Brito;PSOL;NAO VOTOU
4811;Marta Suplicy;PT;SIM
4811;Luiz Henrique;PMDB;SIM
4811;Ivo Cassol;PP;SIM
4811;Gleisi Hoffmann;PT;SIM
4811;Humberto Costa;PT;SIM
4811;Pedro Taques;PDT;NAO VOTOU
4811;Randolfe Rodrigues;PSOL;SIM
4811;Jorge Viana;PT;NAO VOTOU
4811;Eduardo Braga;PMDB;SIM
4811;Paulo Davim;PV;NAO VOTOU
4811;Acir Gurgacz;PDT;NAO VOTOU
4811;Wellington Dias;PT;SIM
4811;Ana Amelia;PP;NAO VOTOU
4812;Jose Sarney;PMDB;PRESIDENTE
4812;Epitacio Cafeteira;PTB;NAO VOTOU
4812;Jose Agripino;DEM;NAO VOTOU
4812;Renan Calheiros;PMDB;SIM
4812;Pedro Simon;PMDB;SIM
4812;Paulo Paim;PT;SIM
4812;Blairo Maggi;PR;SIM
4812;Romero Juca;PMDB;SIM
4812;Eduardo Suplicy;PT;SIM
4812;Itamar Franco;PPS;NAO VOTOU
4812;Eunicio Oliveira;PMDB;SIM
4812;Armando Monteiro;PTB;SIM
4812;Aecio Neves;PSDB;NAO
4812;Marisa Serrano;PSDB;NAO VOTOU
4812;Vanessa Grazziotin;PCdoB;SIM
4812;Inacio Arruda;PCdoB;SIM
4812;Jose Pimentel;PT;SIM
4812;Lucia Vania;PSDB;NAO
4812;Ciro Nogueira;PP;NAO VOTOU
4812;Casildo Maldaner;PMDB;SIM
4812;Roberto Requiao;PMDB;NAO
4812;Gilvam Borges;PMDB;SIM
4812;Walter Pinheiro;PT;SIM
4812;Ricardo Ferraco;PMDB;SIM
4812;Joao Alberto Souza;PMDB;NAO VOTOU
4812;Alvaro Dias;PSDB;NAO
4812;Maria do Carmo Alves;DEM;NAO VOTOU
4812;Francisco Dornelles;PP;SIM
4812;Antonio Carlos Valadares;PSB;NAO VOTOU
4812;Magno Malta;PR;SIM
4812;Waldemir Moka;PMDB;SIM
4812;Katia Abreu;DEM;NAO
4812;Gim;PTB;SIM
4812;Lindbergh Farias;PT;SIM
4812;Paulo Bauer;PSDB;NAO
4812;Joao Ribeiro;PR;SIM
4812;Aloysio Nunes Ferreira;PSDB;NAO
4812;Demostenes Torres;DEM;NAO
4812;Valdir Raupp;PMDB;SIM
4812;Marcelo Crivella;PRB;SIM
4812;Delcidio do Amaral;PT;SIM
4812;Vicentinho Alves;PR;SIM
4812;Joao Pedro;PT;SIM
4812;Wilson Santiago;PMDB;SIM
4812;Benedito de Lira;PP;SIM
4812;Cristovam Buarque;PDT;NAO VOTOU
4812;Mozarildo Cavalcanti;PTB;NAO VOTOU
4812;Flexa Ribeiro;PSDB;NAO
4812;Fernando Collor;PTB;NAO VOTOU
4812;Cicero Lucena;PSDB;NAO
4812;Jayme Campos;DEM;NAO
4812;Joao Durval;PDT;NAO VOTOU
4812;Mario Couto;PSDB;NAO VOTOU
4812;Joao Vicente Claudino;PTB;SIM
4812;Jarbas Vasconcelos;PMDB;NAO
4812;Sergio Petecao;PMN;SIM
4812;Lidice da Mata;PSB;NAO VOTOU
4812;Rodrigo Rollemberg;PSB;SIM
4812;Vital do Rego;PMDB;SIM
4812;Angela Portela;PT;SIM
4812;Eduardo Amorim;PSC;NAO VOTOU
4812;Anibal Diniz;PT;SIM
4812;Ana Rita;PT;SIM
4812;Cyro Miranda;PSDB;NAO
4812;Lobao Filho;PMDB;SIM
4812;Garibaldi Alves;PMDB;NAO VOTOU
4812;Clesio Andrade;PR;SIM
4812;Marinor Brito;PSOL;NAO VOTOU
4812;Marta Suplicy;PT;NAO VOTOU
4812;Luiz Henrique;PMDB;SIM
4812;Ivo Cassol;PP;SIM
4812;Gleisi Hoffmann;PT;SIM
4812;Humberto Costa;PT;SIM
4812;Pedro Taques;PDT;SIM
4812;Randolfe Rodrigues;PSOL;SIM
4812;Jorge Viana;PT;NAO VOTOU
4812;Eduardo Braga;PMDB;SIM
4812;Paulo Davim;PV;SIM
4812;Acir Gurgacz;PDT;NAO VOTOU
4812;Wellington Dias;PT;SIM
4812;Ana Amelia;PP;NAO VOTOU
4813;Jose Sarney;PMDB;NAO VOTOU
4813;Epitacio Cafeteira;PTB;NAO VOTOU
4813;Jose Agripino;DEM;NAO VOTOU
4813;Renan Calheiros;PMDB;SIM
4813;Pedro Simon;PMDB;NAO VOTOU
4813;Paulo Paim;PT;SIM
4813;Blairo Maggi;PR;SIM
4813;Romero Juca;PMDB;SIM
4813;Eduardo Suplicy;PT;SIM
