"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV";"B_AMB"
"Francisco Dornelles";"Francisco Dornelles";"PP";"RJ";765;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv765.jpg";;;;"True"
"Garibaldi Alves";"Garibaldi Alves";"PMDB";"RN";4935;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4935.jpg";;;;
"Garibaldi Alves Filho";"Garibaldi Alves Filho";"PMDB";"RN";87;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv87.jpg";;;;
"Geovani Borges";"Geovani Borges";"PMDB";"AP";4522;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4522.jpg";;;;
"Gilvam Borges";"Gilvam Borges";"PMDB";"AP";30;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv30.jpg";;;;
"Gim Argello";"Gim Argello";"PTB";"DF";4776;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4776.jpg";;"True";;"True"
"Gleisi Hoffmann";"Gleisi Hoffmann";"PT";"PR";5006;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5006.jpg";;;;
"Humberto Costa";"Humberto Costa";"PT";"PE";5008;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5008.jpg";;;;
"Inacio Arruda";"Inacio Arruda";"PC DO B";"CE";613;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv613.jpg";;;;
"Itamar Franco";"Itamar Franco";"PPS";"MG";1754;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv1754.jpg";;;;
"Ivo Cassol";"Ivo Cassol";"PP";"RO";5004;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5004.jpg";;"True";;
"Ivonete Dantas";"Ivonete Dantas";"PMDB";"RN";4937;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4937.jpg";;;;
"Jader Barbalho";"Jader Barbalho";"PMDB";"PA";35;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv35.jpg";;;;
"Jarbas Vasconcelos";"Jarbas Vasconcelos";"PMDB";"PE";4545;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4545.jpg";;;;
"Jayme Campos";"Jayme Campos";"DEM";"MT";4531;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4531.jpg";;"True";;
"Joao Alberto Souza";"Joao Alberto Souza";"PMDB";"MA";950;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv950.jpg";;;;
"Joao Capiberibe";"Joao Capiberibe";"PSB";"AP";3394;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3394.jpg";;;;
"Joao Durval";"Joao Durval";"PDT";"BA";4537;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4537.jpg";;;;
"Joao Pedro";"Joao Pedro";"PT";"AM";4774;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4774.jpg";;;;
