"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"OTAVIO LEITE";"OTAVIO LEITE";"PSDB";"RJ";"5830554";"2011.0";"54.0";"dep_5830554.jpg"
"JEFFERSON CAMPOS";"JEFFERSON CAMPOS";"PSD";"SP";"5830439";"2011.0";"54.0";"dep_5830439.jpg"
"LUIZ SERGIO";"LUIZ SERGIO";"PT";"RJ";"5830521";"2011.0";"54.0";"dep_5830521.jpg"
"JOSE ROCHA";"JOSE ROCHA";"PR";"BA";"5830789";"2011.0";"54.0";"dep_5830789.jpg"
"DECIO LIMA";"DECIO LIMA";"PT";"SC";"5830313";"2011.0";"54.0";"dep_5830313.jpg"
"LUIZ CARLOS HAULY";"LUIZ CARLOS HAULY";"PSDB";"PR";"5830316";"2011.0";"54.0";"dep_5830316.jpg"
"JANDIRA FEGHALI";"JANDIRA FEGHALI";"PCdoB";"RJ";"5830367";"2011.0";"54.0";"dep_5830367.jpg"
"PAULO MAGALHAES";"PAULO MAGALHAES";"PSD";"BA";"5830592";"2011.0";"54.0";"dep_5830592.jpg"
"BETINHO GOMES";"BETINHO GOMES";"PSDB";"PE";"5830545";"2011.0";"54.0";"dep_5830545.jpg"
"AGUINALDO RIBEIRO";"AGUINALDO RIBEIRO";"PP";"PB";"5830568";"2011.0";"54.0";"dep_5830568.jpg"
"LEONIDAS CRISTINO";"LEONIDAS CRISTINO";"PROS";"CE";"5830786";"2011.0";"54.0";"dep_5830786.jpg"
"RONEY NEMER";"RONEY NEMER";"PMDB";"DF";"5830310";"2011.0";"54.0";"dep_5830310.jpg"
"MIGUEL CORREA";"MIGUEL CORREA";"PT";"MG";"141509";"2011.0";"54.0";"dep_141509.jpg"
"PAES LANDIM";"PAES LANDIM";"PTB";"PI";"5830740";"2011.0";"54.0";"dep_5830740.jpg"
"SOSTENES CAVALCANTE";"SOSTENES CAVALCANTE";"PSD";"RJ";"5830563";"2011.0";"54.0";"dep_5830563.jpg"
"SILAS BRASILEIRO";"SILAS BRASILEIRO";"PMDB";"MG";"5830809";"2011.0";"54.0";"dep_5830809.jpg"
"NELSON MEURER";"NELSON MEURER";"PP";"PR";"5830544";"2011.0";"54.0";"dep_5830544.jpg"
"PADRE JOAO";"PADRE JOAO";"PT";"MG";"5830781";"2011.0";"54.0";"dep_5830781.jpg"
"EDUARDO BOLSONARO";"EDUARDO BOLSONARO";"PSC";"SP";"5830315";"2011.0";"54.0";"dep_5830315.jpg"
"HERCULANO PASSOS";"HERCULANO PASSOS";"PSD";"SP";"5830513";"2011.0";"54.0";"dep_5830513.jpg"
"PEDRO UCZAI";"PEDRO UCZAI";"PT";"SC";"5830617";"2011.0";"54.0";"dep_5830617.jpg"
"ELCIONE BARBALHO";"ELCIONE BARBALHO";"PMDB";"PA";"5830325";"2011.0";"54.0";"dep_5830325.jpg"
"DR. JORGE SILVA";"DR. JORGE SILVA";"PROS";"ES";"5830309";"2011.0";"54.0";"dep_5830309.jpg"
"ODORICO MONTEIRO";"ODORICO MONTEIRO";"PT";"CE";"5830301";"2011.0";"54.0";"dep_5830301.jpg"
"CABUCU BORGES";"CABUCU BORGES";"PMDB";"AP";"5830572";"2011.0";"54.0";"dep_5830572.jpg"
"MARCELO AGUIAR";"MARCELO AGUIAR";"DEM";"SP";"5830805";"2011.0";"54.0";"dep_5830805.jpg"
"PAULO MALUF";"PAULO MALUF";"PP";"SP";"5830342";"2011.0";"54.0";"dep_5830342.jpg"
"JEAN WYLLYS";"JEAN WYLLYS";"PSOL";"RJ";"5830725";"2011.0";"54.0";"dep_5830725.jpg"
"ZECA DO PT";"ZECA DO PT";"PT";"MS";"5830424";"2011.0";"54.0";"dep_5830424.jpg"
"JOAO RODRIGUES";"JOAO RODRIGUES";"PSD";"SC";"5830304";"2011.0";"54.0";"dep_5830304.jpg"
"JOSE PRIANTE";"JOSE PRIANTE";"PMDB";"PA";"5830495";"2011.0";"54.0";"dep_5830495.jpg"
"VITOR LIPPI";"VITOR LIPPI";"PSDB";"SP";"5830438";"2011.0";"54.0";"dep_5830438.jpg"
"IZALCI";"IZALCI";"PSDB";"DF";"5830526";"2011.0";"54.0";"dep_5830526.jpg"
"ENIO VERRI";"ENIO VERRI";"PT";"PR";"5830348";"2011.0";"54.0";"dep_5830348.jpg"
"ZE SILVA";"ZE SILVA";"SD";"MG";"5830504";"2011.0";"54.0";"dep_5830504.jpg"
"ADEMIR CAMILO";"ADEMIR CAMILO";"PROS";"MG";"5830803";"2011.0";"54.0";"dep_5830803.jpg"
"MISAEL VARELLA";"MISAEL VARELLA";"DEM";"MG";"5830681";"2011.0";"54.0";"dep_5830681.jpg"
"ALFREDO KAEFER";"ALFREDO KAEFER";"PSDB";"PR";"5830645";"2011.0";"54.0";"dep_5830645.jpg"
"LUIZ COUTO";"LUIZ COUTO";"PT";"PB";"5830317";"2011.0";"54.0";"dep_5830317.jpg"
"MARCUS PESTANA";"MARCUS PESTANA";"PSDB";"MG";"5830743";"2011.0";"54.0";"dep_5830743.jpg"
"CABO SABINO";"CABO SABINO";"PR";"CE";"5830773";"2011.0";"54.0";"dep_5830773.jpg"
"RODRIGO MARTINS";"RODRIGO MARTINS";"PSB";"PI";"5830636";"2011.0";"54.0";"dep_5830636.jpg"
"SERGIO REIS";"SERGIO REIS";"PRB";"SP";"5830603";"2011.0";"54.0";"dep_5830603.jpg"
