"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"Joao Ribeiro";"Joao Ribeiro";"PR";"TO";"916";"--";"54/55";"sen_916.jpg"
"Joao Vicente Claudino";"Joao Vicente Claudino";"PTB";"PI";"4541";"--";"53/54";"sen_4541.jpg"
"Joaquim Roriz";"Joaquim Roriz";"PMDB";"DF";"4533";"--";"53/54";"sen_4533.jpg"
"Jorge Viana";"Jorge Viana";"PT";"AC";"4990";"--";"54/55";"sen_4990.jpg"
"Jose Agripino";"Jose Agripino";"DEM";"RN";"40";"--";"54/55";"sen_40.jpg"
"Jose Pimentel";"Jose Pimentel";"PT";"CE";"615";"--";"54/55";"sen_615.jpg"
"Jose Sarney";"Jose Sarney";"PMDB";"AP";"47";"--";"53/54";"sen_47.jpg"
"Katia Abreu";"Katia Abreu";"PSD";"TO";"1249";"--";"53/54";"sen_1249.jpg"
"Lauro Antonio";"Lauro Antonio";"PR";"SE";"5156";"--";"54/55";"sen_5156.jpg"
"Lidice da Mata";"Lidice da Mata";"PSB";"BA";"4575";"--";"54/55";"sen_4575.jpg"
"Lindbergh Farias";"Lindbergh Farias";"PT";"RJ";"3695";"--";"54/55";"sen_3695.jpg"
"Lobao Filho";"Lobao Filho";"PMDB";"MA";"3579";"--";"54/55";"sen_3579.jpg"
"Lucia Vania";"Lucia Vania";"PSDB";"GO";"643";"--";"54/55";"sen_643.jpg"
"Luiz Henrique";"Luiz Henrique";"PMDB";"SC";"5002";"--";"54/55";"sen_5002.jpg"
"Magno Malta";"Magno Malta";"PR";"ES";"631";"--";"54/55";"sen_631.jpg"
"Marcelo Crivella";"Marcelo Crivella";"PRB";"RJ";"3366";"--";"54/55";"sen_3366.jpg"
"Marco Antonio Costa";"Marco Antonio Costa";"DEM";"TO";"4788";"--";"53/54";"sem_foto.jpg"
"Marconi Perillo";"Marconi Perillo";"PSDB";"GO";"4535";"--";"53/54";"sen_4535.jpg"
"Maria do Carmo Alves";"Maria do Carmo Alves";"DEM";"SE";"1023";"--";"53/54";"sen_1023.jpg"
"Marinor Brito";"Marinor Brito";"PSOL";"PA";"4998";"--";"54/55";"sen_4998.jpg"
"Mario Couto";"Mario Couto";"PSDB";"PA";"4539";"--";"53/54";"sen_4539.jpg"
"Marisa Serrano";"Marisa Serrano";"PSDB";"MS";"527";"--";"53/54";"sen_527.jpg"
"Marta Suplicy";"Marta Suplicy";"PT";"SP";"5000";"--";"54/55";"sen_5000.jpg"
"Mozarildo Cavalcanti";"Mozarildo Cavalcanti";"PTB";"RR";"952";"--";"53/54";"sen_952.jpg"
"Niura Demarchi";"Niura Demarchi";"PSDB";"SC";"4961";"--";"53/54";"sen_4961.jpg"
"Osvaldo Sobrinho";"Osvaldo Sobrinho";"PTB";"MT";"1210";"--";"53/54";"sen_1210.jpg"
"Paulo Bauer";"Paulo Bauer";"PSDB";"SC";"3741";"--";"54/55";"sen_3741.jpg"
"Paulo Davim";"Paulo Davim";"PV";"RN";"5020";"--";"54/55";"sen_5020.jpg"
"Paulo Paim";"Paulo Paim";"PT";"RS";"825";"--";"54/55";"sen_825.jpg"
"Pedro Simon";"Pedro Simon";"PMDB";"RS";"68";"--";"53/54";"sen_68.jpg"
"Pedro Taques";"Pedro Taques";"PDT";"MT";"5010";"--";"54/55";"sen_5010.jpg"
"Raimundo Colombo";"Raimundo Colombo";"DEM";"SC";"1206";"--";"53/54";"sen_1206.jpg"
"Randolfe Rodrigues";"Randolfe Rodrigues";"PSOL";"AP";"5012";"--";"54/55";"sen_5012.jpg"
"Reditario Cassol";"Reditario Cassol";"PP";"RO";"5072";"--";"54/55";"sen_5072.jpg"
"Renan Calheiros";"Renan Calheiros";"PMDB";"AL";"70";"--";"54/55";"sen_70.jpg"
"Renato Casagrande";"Renato Casagrande";"PSB";"ES";"3868";"--";"53/54";"sen_3868.jpg"
"Ricardo Ferraco";"Ricardo Ferraco";"PMDB";"ES";"635";"--";"54/55";"sen_635.jpg"
"Roberto Requiao";"Roberto Requiao";"PMDB";"PR";"72";"--";"54/55";"sen_72.jpg"
"Rodrigo Rollemberg";"Rodrigo Rollemberg";"PSB";"DF";"4593";"--";"54/55";"sen_4593.jpg"
"Romero Juca";"Romero Juca";"PMDB";"RR";"73";"--";"54/55";"sen_73.jpg"
"Rosalba Ciarlini";"Rosalba Ciarlini";"DEM";"RN";"4543";"--";"53/54";"sen_4543.jpg"
"Sergio Petecao";"Sergio Petecao";"PSD";"AC";"4560";"--";"54/55";"sen_4560.jpg"
"Sergio Souza";"Sergio Souza";"PMDB";"PR";"5048";"--";"54/55";"sen_5048.jpg"
"Tiao Viana";"Tiao Viana";"PT";"AC";"982";"--";"53/54";"sen_982.jpg"
"Valdir Raupp";"Valdir Raupp";"PMDB";"RO";"3372";"--";"54/55";"sen_3372.jpg"
"Vanessa Grazziotin";"Vanessa Grazziotin";"PC DO B";"AM";"558";"--";"54/55";"sen_558.jpg"
"Vicentinho Alves";"Vicentinho Alves";"PR";"TO";"4763";"--";"54/55";"sen_4763.jpg"
"Virginio de Carvalho";"Virginio de Carvalho";"PSC";"SE";"4786";"--";"53/54";"sen_4786.jpg"
"Vital do Rego";"Vital do Rego";"PMDB";"PB";"4645";"--";"54/55";"sen_4645.jpg"
"Waldemir Moka";"Waldemir Moka";"PMDB";"MS";"1176";"--";"54/55";"sen_1176.jpg"
"Walter Pinheiro";"Walter Pinheiro";"PT";"BA";"604";"--";"54/55";"sen_604.jpg"
"Wellington Dias";"Wellington Dias";"PT";"PI";"5016";"--";"54/55";"sen_5016.jpg"
"Wilson Matos";"Wilson Matos";"PSDB";"PR";"4772";"--";"53/54";"sen_4772.jpg"
"Wilson Santiago";"Wilson Santiago";"PMDB";"PB";"3811";"--";"54/55";"sen_3811.jpg"
"Zeze Perrella";"Zeze Perrella";"PDT";"MG";"5144";"--";"54/55";"sen_5144.jpg"
"Tomas Correia";"Tomas Correia";"PMDB";"RO";"4949";"--";"54/55";"sen_4949.jpg"
"Wilder Morais";"Wilder Morais";"DEM";"GO";"5070";"--";"54/55";"sen_5070.jpg"
"Cidinho Santos";"Cidinho Santos";"PR";"MT";"5108";"--";"54/55";"sen_5108.jpg"
"Antonio Carlos Rodrigues";"Antonio Carlos Rodrigues";"PR";"SP";"4957";"--";"54/55";"sen_4957.jpg"
"Gim";"Gim";"PTB";"DF";"4776";"--";"54/55";"sem_foto.jpg"
"Joao Costa";"Joao Costa";"PPL";"TO";"5166";"--";"54/55";"sen_5166.jpg"
"Marco Antonio Costa";"Marco Antonio Costa";"PSD";"TO";"4788";"--";"54/55";"sem_foto.jpg"
"Sodre Santoro";"Sodre Santoro";"PTB";"RR";"4957";"--";"54/55";"sem_foto.jpg"
"Ruben Figueiro";"Ruben Figueiro";"PSDB";"MS";"4893";"--";"54/55";"sen_4893.jpg"
"Acir Gurgacz";"Acir Gurgacz";"PDT";"RO";"4981";"--";"53/54";"sem_foto.jpg"
"Antonio Aureliano";"Antonio Aureliano";"PSDB";"MG";"4897";"--";"53/54";"sen_4897.jpg"
"Douglas Cintra";"Douglas Cintra";"PTB";"PE";"5178";"--";"54/55";"sen_5178.jpg"
"Fleury";"Fleury";"DEM";"GO";"4873";"--";"54/55";"sen_4873.jpg"
"Jorge Afonso Argello";"Jorge Afonso Argello";"PTB";"DF";"4776";"--";"53/54";"sen_4776.jpg"
"Kaka Andrade";"Kaka Andrade";"PDT";"SE";"5158";"--";"54/55";"sen_5158.jpg"
"Odacir Soares";"Odacir Soares";"PP";"RO";"64";"--";"54/55";"sen_64.jpg"
"Marco Antonio";"Marco Antonio";"DEM";"TO";"4788";"--";"53/54";"sen_4788.jpg"
