"ID_VOTACAO";"POLITICO";"PARTIDO";"VOTO"
"5251";"Antonio Carlos Valadares";"PSB";"Sim"
"5251";"Magno Malta";"PR";"AP "
"5251";"Waldemir Moka";"PMDB";"Sim"
"5251";"Kátia Abreu";"PMDB";"Sim"
"5251";"Gim";"PTB";"Sim"
"5251";"Lindbergh Farias";"PT";"Sim"
"5251";"Paulo Bauer";"PSDB";"Sim"
"5251";"Aloysio Nunes Ferreira";"PSDB";"Sim"
"5251";"João Capiberibe";"PSB";"Sim"
"5251";"Valdir Raupp";"PMDB";"Sim"
"5251";"Marcelo Crivella";"PRB";"AP "
"5251";"Delcídio do Amaral";"PT";"Sim"
"5251";"Vicentinho Alves";"SDD";"Sim"
"5251";"Benedito de Lira";"PP";"Sim"
"5251";"Cristovam Buarque";"PDT";"AP "
"5251";"Mozarildo Cavalcanti";"PTB";"Sim"
"5251";"Flexa Ribeiro";"PSDB";"Sim"
"5251";"Fernando Collor";"PTB";"Sim"
"5251";"Alfredo Nascimento";"PR";"Sim"
"5251";"Cícero Lucena";"PSDB";"Sim"
"5251";"Jayme Campos";"DEM";"Abstenção"
"5251";"João Durval";"PDT";"Sim"
"5251";"Mário Couto";"PSDB";"Não"
"5251";"João Vicente Claudino";"PTB";"Sim"
"5251";"Jarbas Vasconcelos";"PMDB";"Sim"
"5251";"Sérgio Petecão";"PSD";"P-NRV"
"5251";"Lídice da Mata";"PSB";"LS "
"5251";"Rodrigo Rollemberg";"PSB";"Sim"
"5251";"Vital do Rêgo";"PMDB";"Sim"
"5251";"Angela Portela";"PT";"Sim"
"5251";"Eduardo Amorim";"PSC";"Sim"
"5251";"Anibal Diniz";"PT";"Sim"
"5251";"Ana Rita";"PT";"Sim"
"5251";"Cyro Miranda";"PSDB";"Sim"
"5251";"Cidinho Santos";"PR";"Sim"
"5251";"Zeze Perrella";"PDT";"P-NRV"
"5251";"Ataídes Oliveira";"PROS";"P-NRV"
"5251";"Lobão Filho";"PMDB";"P-NRV"
"5251";"Ivonete Dantas";"PMDB";"Sim"
"5251";"Clésio Andrade";"PMDB";"P-NRV"
"5251";"Luiz Henrique";"PMDB";"Sim"
"5251";"Ivo Cassol";"PP";"P-NRV"
"5251";"Gleisi Hoffmann";"PT";"Sim"
"5251";"Humberto Costa";"PT";"Sim"
"5251";"Pedro Taques";"PDT";"Sim"
"5251";"Randolfe Rodrigues";"PSOL";"Sim"
"5251";"Jorge Viana";"PT";"Sim"
"5251";"Eduardo Braga";"PMDB";"Sim"
"5251";"Paulo Davim";"PV";"Sim"
"5251";"Cássio Cunha Lima";"PSDB";"Sim"
"5251";"Acir Gurgacz";"PDT";"Sim"
"5251";"Wellington Dias";"PT";"Sim"
"5251";"Ana Amélia";"PP";"Sim"
"5251";"Ruben Figueiró";"PSDB";"Sim"
"5251";"Wilder Morais";"DEM";"NCom"
"5251";"Antonio Carlos Rodrigues";"PR";"Sim"
"5250";"José Sarney";"PMDB";"P-NRV"
"5250";"Epitácio Cafeteira";"PTB";"Não"
"5250";"José Agripino";"DEM";"Não"
"5250";"Renan Calheiros";"PMDB";"Presidente (art. 51 RISF)"
"5250";"Jader Barbalho";"PMDB";"Não"
"5250";"Pedro Simon";"PMDB";"Não"
"5250";"Paulo Paim";"PT";"P-NRV"
"5250";"Romero Jucá";"PMDB";"Não"
"5250";"Eduardo Suplicy";"PT";"Não"
"5250";"Eunício Oliveira";"PMDB";"Sim"
"5250";"Armando Monteiro";"PTB";"Não"
"5250";"Aécio Neves";"PSDB";"Não"
"5250";"Vanessa Grazziotin";"PCdoB";"P-NRV"
"5250";"Inácio Arruda";"PCdoB";"Não"
"5250";"José Pimentel";"PT";"Não"
"5250";"Lúcia Vânia";"PSDB";"Não"
"5250";"Ciro Nogueira";"PP";"Não"
"5250";"Casildo Maldaner";"PMDB";"Não"
"5250";"Roberto Requião";"PMDB";"MIS"
"5250";"Walter Pinheiro";"PT";"P-NRV"
"5250";"Ricardo Ferraço";"PMDB";"P-NRV"
"5250";"João Alberto Souza";"PMDB";"P-NRV"
"5250";"Alvaro Dias";"PSDB";"Não"
"5250";"Maria do Carmo Alves";"DEM";"Não"
"5250";"Francisco Dornelles";"PP";"Não"
"5250";"Antonio Carlos Valadares";"PSB";"Sim"
"5250";"Magno Malta";"PR";"AP "
"5250";"Waldemir Moka";"PMDB";"Não"
"5250";"Kátia Abreu";"PMDB";"P-NRV"
"5250";"Gim";"PTB";"Não"
"5250";"Lindbergh Farias";"PT";"Não"
"5250";"Paulo Bauer";"PSDB";"Não"
"5250";"Aloysio Nunes Ferreira";"PSDB";"Não"
"5250";"João Capiberibe";"PSB";"P-NRV"
"5250";"Valdir Raupp";"PMDB";"Não"
"5250";"Marcelo Crivella";"PRB";"AP "
"5250";"Delcídio do Amaral";"PT";"Não"
"5250";"Vicentinho Alves";"SDD";"Não"
"5250";"Benedito de Lira";"PP";"Não"
"5250";"Cristovam Buarque";"PDT";"AP "
"5250";"Mozarildo Cavalcanti";"PTB";"Não"
"5250";"Flexa Ribeiro";"PSDB";"Não"
"5250";"Fernando Collor";"PTB";"Não"
"5250";"Alfredo Nascimento";"PR";"P-NRV"
"5250";"Cícero Lucena";"PSDB";"Não"
"5250";"Jayme Campos";"DEM";"Não"
"5250";"João Durval";"PDT";"Não"
"5250";"Mário Couto";"PSDB";"Não"
