"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"MATTEO CHIARELLI";"MATTEO CHIARELLI";"PFL";"RS";"147653";"2007";"53";""
"FLÁVIO DINO";"FLAVIO DINO";"PCdoB";"MA";"141436";"2007";"53";""
"SÉRGIO MORAES";"SERGIO MORAES";"PTB";"RS";"527964";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141542.jpg"
"PROFESSOR RUY PAULETTI";"PROFESSOR RUY PAULETTI";"PSDB";"RS";"141538";"2007";"53";""
"VALTENIR PEREIRA";"VALTENIR PEREIRA";"PROS";"MT";"526124";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141552.jpg"
"HENRIQUE AFONSO";"HENRIQUE AFONSO";"PV";"AC";"520015";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73940.jpg"
"LUCIANO CASTRO";"LUCIANO CASTRO";"PR";"RR";"523023";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73982.jpg"
"JOSÉ CARLOS MACHADO";"JOSE CARLOS MACHADO";"PFL";"SE";"74055";"2007";"53";""
"TARCÍSIO ZIMMERMANN";"TARCISIO ZIMMERMANN";"PT";"RS";"73577";"2007";"53";""
"ARACELY DE PAULA";"ARACELY DE PAULA";"PR";"MG";"521241";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74648.jpg"
"VADÃO GOMES";"VADAO GOMES";"PP";"SP";"73564";"2007";"53";""
"RÔMULO GOUVEIA";"ROMULO GOUVEIA";"PSDB";"PB";"141536";"2007";"53";""
"GLADSON CAMELI";"GLADSON CAMELI";"PP";"AC";"524520";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141446.jpg"
"BARBOSA NETO";"BARBOSA NETO";"PDT";"PR";"141449";"2007";"53";""
"MILTON BARBOSA";"MILTON BARBOSA";"PSC";"BA";"74337";"2007";"53";""
"TONHA MAGALHÃES";"TONHA MAGALHAES";"PFL";"BA";"141382";"2007";"53";""
"NELSON GOETTEN";"NELSON GOETTEN";"PFL";"SC";"141511";"2007";"53";""
"HENRIQUE FONTANA";"HENRIQUE FONTANA";"PT";"RS";"523097";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73482.jpg"
"ROGERIO LISBOA";"ROGERIO LISBOA";"PFL";"RJ";"141534";"2007";"53";""
"BETO MANSUR";"BETO MANSUR";"PRB";"SP";"528887";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73437.jpg"
"DR. PINOTTI";"DR. PINOTTI";"PFL";"SP";"73542";"2007";"53";""
"INDIO DA COSTA";"INDIO DA COSTA";"PFL";"RJ";"141389";"2007";"53";""
"EDGAR MOURY";"EDGAR MOURY";"PMDB";"PE";"141416";"2007";"53";""
"GERÔNIMO DA ADEFAL";"GERONIMO DA ADEFAL";"PFL";"AL";"141444";"2007";"53";""
"SIMÃO SESSIM";"SIMAO SESSIM";"PP";"RJ";"522258";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73424.jpg"
"JOSÉ CARLOS ALELUIA";"JOSE CARLOS ALELUIA";"PFL";"BA";"74553";"2007";"53";""
"MENDES RIBEIRO FILHO";"MENDES RIBEIRO FILHO";"PMDB";"RS";"73904";"2007";"53";""
"NÉLIO DIAS";"NELIO DIAS";"PP";"RN";"74038";"2007";"53";""
"LAEL VARELLA";"LAEL VARELLA";"DEM";"MG";"521230";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74742.jpg"
"BRUNO RODRIGUES";"BRUNO RODRIGUES";"PSDB";"PE";"141393";"2007";"53";""
"EMANUEL FERNANDES";"EMANUEL FERNANDES";"PSDB";"SP";"528412";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74119.jpg"
"EDINHO BEZ";"EDINHO BEZ";"PMDB";"SC";"523304";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73793.jpg"
"SERGIO PETECÃO";"SERGIO PETECAO";"PMN";"AC";"141541";"2007";"53";""
"EDUARDO SCIARRA";"EDUARDO SCIARRA";"PSD";"PR";"522190";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74382.jpg"
"CARLOS  MELLES";"CARLOS  MELLES";"DEM";"NA";"NA";"NA";"NA";""
"VELOSO";"VELOSO";"PPS";"BA";"141524";"2007";"53";""
"JAIRO ATAÍDE";"JAIRO ATAIDE";"DEM";"MG";"531199";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/3151.jpg"
"MARCELO GUIMARÃES FILHO";"MARCELO GUIMARAES FILHO";"PMDB";"BA";"74143";"2011";"54";""
"ANTONIO CARLOS MENDES THAME";"ANTONIO CARLOS MENDES THAME";"PSDB";"SP";"524132";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73584.jpg"
"EMILIA FERNANDES";"EMILIA FERNANDES";"PT";"RS";"153384";"2007";"53";""
"RODRIGO MAIA";"RODRIGO MAIA";"DEM";"RJ";"522553";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74693.jpg"
"JOÃO PAULO CUNHA";"JOAO PAULO CUNHA";"PT";"SP";"73534";"2011";"54";""
"CHICO DA PRINCESA";"CHICO DA PRINCESA";"PL";"PR";"74000";"2007";"53";""
"FÁBIO FARIA";"FABIO FARIA";"PSD";"RN";"527539";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141428.jpg"
"ODAIR CUNHA";"ODAIR CUNHA";"PT";"MG";"521038";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74159.jpg"
"CIRO NOGUEIRA";"CIRO NOGUEIRA";"PP";"PI";"74313";"2007";"53";""
"PAULO ROBERTO PEREIRA";"PAULO ROBERTO PEREIRA";"PTB";"RS";"141521";"2007";"53";""
"JILMAR TATTO";"JILMAR TATTO";"PT";"SP";"141456";"2007";"53";""
"DR. ROSINHA";"DR. ROSINHA";"PT";"PR";"522070";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73459.jpg"
"COSTA FERREIRA";"COSTA FERREIRA";"PSC";"MA";"74016";"2007";"53";""
"AFFONSO CAMARGO";"AFFONSO CAMARGO";"PSDB";"PR";"73765";"2007";"53";""
"OLAVO CALHEIROS";"OLAVO CALHEIROS";"PMDB";"AL";"74005";"2007";"53";""
"SILAS BRASILEIRO";"SILAS BRASILEIRO";"PMDB";"MG";"74765";"2011";"54";""
"ANDRÉ DE PAULA";"ANDRE DE PAULA";"PSD";"PE";"5829234";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74471.jpg"
"RODRIGO ROCHA LOURES";"RODRIGO ROCHA LOURES";"PMDB";"PR";"141532";"2007";"53";""
"DELEY";"DELEY";"PSC";"RJ";"74172";"2011";"54";""
"CLAUDIO CAJADO";"CLAUDIO CAJADO";"DEM";"BA";"520340";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74537.jpg"
"JADER BARBALHO";"JADER BARBALHO";"PMDB";"PA";"73929";"2007";"53";""
"REBECCA GARCIA";"REBECCA GARCIA";"PP";"AM";"524687";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141525.jpg"
"ANTONIO CRUZ";"ANTONIO CRUZ";"PP";"MS";"73817";"2007";"53";""
"CARLOS ZARATTINI";"CARLOS ZARATTINI";"PT";"SP";"528288";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141398.jpg"
"AUGUSTO CARVALHO";"AUGUSTO CARVALHO";"PPS";"DF";"73655";"2011";"54";""
"ALINE CORRÊA";"ALINE CORREA";"PP";"SP";"528183";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141375.jpg"
"GERSON PERES";"GERSON PERES";"PP";"PA";"74076";"2007";"53";""
"JOSÉ PAULO TÓFFANO";"JOSE PAULO TOFFANO";"PV";"SP";"141471";"2007";"53";""
